CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
130194360,8056236,8873.6,8871,8873.4,7911.3,7906.6,7908.8,15858.5,15857.5,15859.3,7756.8,7755.3,7758.3,404.5,405.6,9041,8650.8,6147.2,6149.1,6147.5,67647.4,67644.1,67658.4,10326.1,10324.5,10324.3,5216.3,5214.4,5222.2,1892.7,1885.6,1912.3,857.5,2648.8,2643.6,2644.6,1330.8,1329.9,1331.6,3961.7,3958.1,3958.5,8406.3,8406.8,8410.1,3604.4,3602.2,176,167,10601.7,10596.4,10600.6,4282.8,4286.1,4287.8,4880.8,4879.7,4883.9,18324.4,18339.6,18337.6,167,167,45.150002,21.370001
141261344,8164062.5,8868.5,8866.8,8868.3,7908.2,7902.9,7906.3,15855.2,15851.8,15852.4,7747.1,7744.8,7747.5,404.6,405.6,9041.7,8649.9,6145.6,6147.6,6145.9,67618.3,67605.8,67606.8,10320.4,10317.3,10317.5,5215,5213.2,5220.5,1892.7,1885.5,1912.1,857.5,2647.8,2642.7,2643.2,1329.7,1328.8,1330.5,3958.2,3954.3,3954.6,8387.2,8387.1,8389.1,3604.9,3602.8,176,167,10582.6,10586,10589.1,4278.7,4280.2,4283.6,4875.8,4875,4881.3,18344.7,18335.2,18344.7,167,167,45.119999,21.41
129473944,7918284.5,8854.3,8852.8,8854.8,7902.4,7896,7892.4,15847.3,15846.9,15848.8,7734.7,7731,7734.4,404.6,405.7,9042.2,8650.3,6143.5,6146,6144.6,67570.9,67570.2,67574.3,10308.5,10308.6,10305.4,5213,5211.2,5218.9,1892.8,1885.7,1912.3,857.5,2646.7,2641.4,2642.3,1329,1328,1329.7,3955,3950.9,3951.7,8371.7,8368.7,8373.2,3603.8,3601.4,176,167,10573.5,10580,10584.4,4275.6,4279.6,4281.5,4881.6,4880.3,4881.2,18351.3,18339.2,18327.6,167,167,44.810001,21.440001
128422232,8150072,8847.3,8845.1,8847,7888.8,7884.7,7887.3,15847,15846.2,15848.5,7724.4,7722,7724.4,404.6,405.7,9041.7,8650.6,6142.2,6144.8,6143.3,67537.5,67544.9,67536.9,10299.6,10296.5,10296.7,5211.4,5209.8,5216.3,1892.8,1885.6,1912.1,857.4,2645.6,2640.1,2641.1,1328.1,1327.1,1328.8,3951.4,3947.6,3947.7,8355.8,8354.2,8356.7,3603.4,3602.4,176,167,10575.6,10577.4,10576.9,4273.2,4274.7,4277.2,4875,4876.3,4877.1,18327.5,18348.2,18349.9,167,167,44.68,21.459999
139045232,8074919,8833,8831.3,8833.2,7881.8,7877.7,7880.2,15841.5,15838.5,15840.5,7709.5,7707.7,7710.6,404.6,405.7,9042,8650.7,6139.5,6141.5,6140.1,67514.1,67506.3,67499.8,10282.4,10283.3,10283.1,5207.2,5206.2,5212.7,1892.7,1885.5,1912.3,857.5,2644.2,2639,2639.6,1327.1,1326.1,1327.8,3946.2,3942.7,3943.1,8332.7,8333.2,8336.2,3604.1,3602.1,176,167,10551.7,10564.9,10559.6,4269.4,4272.6,4275.8,4876.6,4875.5,4876.6,18319.7,18325,18321.7,167,167,44.630001,21.51
119599936,7805234.5,8822,8820.2,8821.3,7872,7869.5,7870.9,15832.8,15832.5,15833.9,7698.8,7696.6,7698,404.6,405.7,9042.2,8650.3,6137.6,6139.5,6138.5,67465.5,67471.6,67477.6,10271.1,10269.5,10270.3,5205.7,5203.7,5211.4,1892.8,1885.6,1912.2,857.5,2642.7,2637.3,2638.1,1326.1,1325.1,1326.8,3941.9,3937.8,3938.6,8313.8,8313.7,8317,3604.7,3602.3,176,167,10550.6,10552.2,10557.6,4265.2,4268.2,4270.8,4872.4,4870.7,4873.2,18312.3,18316.3,18316.3,167,167,44.720001,21.540001
126945152,7628131.5,8809,8807.7,8809.5,7862.4,7858.5,7861.5,15828.7,15829,15828.9,7683,7681.4,7683.9,404.6,405.7,9041.7,8651.7,6134.7,6137.5,6135.8,67432.5,67428.6,67419.5,10260.4,10257,10256.1,5202.7,5200.4,5208.3,1892.8,1885.7,1912.3,857.5,2641.7,2636.5,2637.3,1325,1323.9,1325.7,3937.4,3933.5,3933.9,8292.5,8292.2,8294.1,3604.1,3602,176,167,10536.3,10550.1,10551.8,4262.1,4265.2,4267.1,4871.6,4872.1,4870.8,18324.9,18300.4,18294.4,167,167,44.830002,21.57
123644736,7924828,8797.8,8797.3,8798.3,7855.6,7853.1,7854.7,15824.7,15825.9,15824.6,7670.9,7668,7671.5,404.6,405.7,9043,8651.6,6133.6,6135.7,6134.4,67381.1,67378.3,67382.3,10250.3,10248.3,10247.7,5201,5199.6,5206.6,1892.9,1885.7,1912.4,857.6,2640.2,2634.6,2635.5,1324,1323,1324.7,3933.8,3929.8,3930.2,8275.1,8275.1,8278.9,3606.1,3601.6,176,167,10520.1,10518.1,10523.5,4256.5,4258.5,4263.4,4867.3,4866.9,4868,18294.5,18288.7,18286,167,167,44.900002,21.610001
141946912,7730451.5,8788,8786.3,8787.4,7849,7844.8,7846.2,15820.5,15818.3,15818.8,7658.2,7656.2,7659.5,404.7,405.7,9042.9,8650.9,6131.3,6133.2,6132.5,67340.9,67341.1,67337.7,10239.4,10236.5,10237,5200.3,5198.3,5206,1892.9,1885.7,1912.4,857.5,2638.4,2632.9,2634.2,1323.2,1322,1323.7,3930,3926,3926.5,8257.8,8258.3,8261.4,3605.6,3601.7,176,167,10519.5,10526.4,10527.3,4255.2,4258.3,4260,4866.9,4865.9,4869.2,18284.5,18272,18288.3,167,167,44.810001,21.620001
135753824,7474041,8776.6,8775,8776.5,7837.4,7834.6,7835.7,15812.5,15811.8,15812.4,7646.3,7643.6,7646.3,404.7,405.7,9042.2,8651.7,6129.5,6131.6,6129.7,67307.5,67309.4,67316.6,10231.8,10231,10229.2,5197.6,5196,5203.4,1892.9,1885.7,1912.3,857.5,2636.9,2631.4,2632.2,1322,1321.1,1322.7,3926.3,3922.7,3922.9,8239.7,8239.5,8242.6,3604.9,3603,176,167,10511.8,10511.1,10519.8,4255,4256.7,4259.5,4865.7,4865.5,4868.2,18280.2,18279.6,18293.3,167,167,44.73,21.65
