CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
101715056,4399808,6557.5,6556.1,6558.4,5550,5548.4,5552.6,12658.7,12657.4,12659,5932.2,5931.4,5935.3,407,408.1,9084.1,8690.6,5037.8,5039.8,5038.4,55639,55648.8,55646.1,7501.8,7500.5,7500.5,4561.8,4559.6,4567.4,1901.2,1894.1,1920,861.5,2237.5,2232.3,2233,1200.6,1199.6,1201.3,3274.1,3270.4,3271,6373,6372.1,6375.5,3618.8,3616.6,177.1,167,8099.7,8105.8,8108.7,3234,3235.4,3237.4,4053.9,4052.6,4055.6,14936.4,14926.6,14922.2,167,167,34.610001,27.83
222419488,4429291.5,6556.4,6555.2,6557,5549.4,5550.7,5552.5,12658.7,12658.2,12659,5931.5,5930.6,5934.4,407,408.1,9083.6,8690.7,5037.6,5039.7,5038.3,55638.2,55640.3,55641,7501.5,7500.1,7499.1,4561.8,4560.1,4567.6,1901.3,1894.1,1920.1,861.5,2237.1,2232.1,2233,1200.5,1199.5,1201.3,3273.6,3270.1,3270.9,6372.1,6371.5,6374,3619.6,3617.1,177.1,167,8104.5,8106.2,8109.2,3234.2,3235.8,3238.7,4052.6,4052.7,4055.9,14918.7,14924.9,14919.4,167,167,34.610001,27.799999
106979384,4334763,6556.4,6555.2,6556.6,5547.4,5546.4,5550.5,12659.2,12658.3,12659.8,5932,5931,5934.9,407,408.1,9084.1,8690.9,5037.7,5039.8,5038.3,55640,55645.5,55644.7,7500.6,7500.1,7499.5,4562,4559.9,4567.6,1901.4,1894.1,1920,861.5,2237.2,2232.2,2233.3,1200.6,1199.5,1201.3,3273.9,3270.2,3271,6370.9,6371,6373.7,3619.3,3616.8,177.1,167,8106.4,8107.1,8110.1,3234.1,3235,3237,4054,4054.7,4057,14928.8,14915.6,14920.2,167,167,34.68,27.83
140988976,4343324.5,6555.6,6554.7,6556.7,5548.4,5547.2,5551.6,12660.2,12658.6,12660.4,5931.8,5930.8,5934.5,407,408.1,9083.5,8691.1,5038.1,5039.5,5038.3,55638.6,55637.1,55633.8,7502.1,7501.9,7501.5,4562,4559.9,4567.8,1901.3,1894.2,1920,861.5,2237.6,2232.5,2233.2,1200.6,1199.5,1201.2,3273.6,3270.2,3270.8,6370.9,6369.6,6372.9,3619.5,3617.1,177.1,167,8100.5,8102.8,8104,3234.6,3235.9,3238,4053.6,4053.2,4055.7,14927.7,14928.3,14925.5,167,167,34.57,27.799999
130776496,4191151.8,6556.5,6555.5,6557.4,5547.4,5546.4,5550.1,12658.8,12658.9,12660.4,5931.9,5931.1,5934,407,408.1,9084.4,8690.8,5037.4,5039.7,5038.1,55646.6,55657,55664.7,7500.5,7498.5,7497.9,4561.9,4559.8,4567.6,1901.3,1894,1920,861.5,2237.4,2232.5,2233,1200.5,1199.5,1201.1,3273.7,3270,3270.5,6370.8,6370.3,6373.5,3618,3615.9,177.1,167,8098.7,8105.2,8104.5,3234.8,3235.9,3238.2,4053.5,4053.9,4056.8,14923.7,14922.3,14928.5,167,167,34.48,27.799999
120835216,4174373,6556.8,6555.3,6557.7,5548.1,5547.5,5551.8,12661.5,12660.2,12661.1,5931.7,5930.7,5935,407,408.1,9084.1,8691.2,5037.8,5039.7,5038.8,55649,55628.9,55647.2,7501.7,7499.9,7501.6,4561.8,4559.8,4567.5,1901.3,1894,1920,861.4,2237.5,2232.2,2233,1200.6,1199.4,1201.2,3273.5,3270.1,3270.8,6370.6,6369.3,6372.5,3617.3,3615.4,177.1,167,8101.1,8103.6,8106.6,3234.2,3234.9,3238.2,4056.5,4054.8,4056.3,14925.5,14920.3,14914.5,167,167,34.41,27.82
183546688,4178995.2,6557.4,6556.1,6558.2,5549,5545,5550.9,12660.6,12659.4,12659.2,5932.4,5930.9,5935.1,407,408.1,9083.6,8690.7,5038,5040.1,5038.7,55645.4,55646.3,55646.1,7501.7,7499.5,7499.7,4562.3,4560.4,4567.8,1901.3,1894.1,1920.2,861.5,2237.1,2232.1,2233,1200.4,1199.5,1201.2,3273.3,3270,3270.5,6370.9,6369.9,6372.1,3619.1,3617.3,177.1,167,8100.3,8107.7,8110,3234.3,3235.7,3237.3,4053.9,4052.1,4054.6,14912,14926.6,14921,167,167,34.41,27.85
101503256,4225361.5,6558,6556.8,6559,5550.9,5547.6,5552.1,12659.7,12658.7,12660.4,5932,5931,5935,407,408,9084.5,8690.4,5038.1,5040.1,5039,55629.8,55639.5,55635.8,7501.5,7500.6,7501.9,4561.6,4559.7,4567.1,1901.4,1894.1,1920.1,861.6,2237,2232,2232.9,1200.5,1199.4,1201.2,3273.5,3269.7,3270.3,6369.3,6368.9,6372,3619,3616.6,177.1,167,8103.6,8106.2,8105.9,3235.1,3236.7,3238.8,4052.7,4053.5,4056.8,14918.8,14917,14911.1,167,167,34.41,27.83
220076480,4279175.5,6558.1,6556.7,6559,5549,5546.1,5550.2,12661.8,12659.6,12660.4,5931.5,5930.8,5934.9,406.9,408,9083.7,8691,5038.1,5040.3,5038.8,55639,55638.8,55641.5,7502.3,7500.4,7499.2,4562.4,4560.4,4567.8,1901.3,1894,1920.1,861.5,2236.9,2231.8,2232.6,1200.4,1199.4,1201.1,3272.9,3269.4,3270,6369.4,6368.6,6372.2,3619,3616.9,177.1,167,8104.6,8108,8109.8,3234.3,3236.5,3237.9,4054.4,4054.3,4056.4,14928.3,14937.1,14924.7,167,167,34.32,27.82
108608112,4343195.5,6558.8,6557.7,6559.9,5549.1,5547.9,5553.9,12661.5,12660.4,12661.5,5932,5931.2,5934.9,407,408.1,9084.6,8691,5038.5,5040.9,5039.7,55634.8,55640.8,55642.9,7503.8,7502.3,7500.3,4562.2,4559.6,4567.4,1901.4,1894.1,1920.1,861.5,2237.3,2232,2232.7,1200.3,1199.4,1201.1,3273,3269.5,3270.4,6368.1,6366.9,6370.8,3618.7,3616.1,177.1,167,8101.9,8104.7,8106.6,3234.8,3235.7,3238.3,4054.4,4053.8,4056.3,14923.5,14921.4,14923.2,167,167,34.25,27.82
