CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
123749368,4777160,6558.9,6557.3,6559.1,5438.6,5438,5443,12809.9,12808.1,12810,6105,6103.7,6108.1,406.2,407.3,9071.1,8677.8,5107.5,5109.8,5108.1,55991.6,55997.4,56006.1,7695.3,7696,7696.4,4528,4526.5,4534.1,1898.3,1891.2,1916.9,860,2240.5,2235.4,2236,1211.3,1210.3,1212,3347.3,3343.8,3344.9,6815.5,6816.3,6820.8,3611.7,3610.1,176.7,167,8224.4,8224,8225.9,3253.3,3255.2,3256.8,4046.5,4046.8,4050.5,14655.4,14645.8,14652.1,167,167,39.860001,25.99
182402016,5021402.5,6573.5,6572.8,6574.8,5465.8,5465.1,5469.8,12816.4,12814.8,12816,6134.6,6133.9,6138.1,406.3,407.3,9069.9,8678,5109.4,5111.9,5110.4,56107.8,56113.4,56116.2,7766.5,7768,7767.7,4545,4543,4551.3,1898.3,1891.1,1916.8,860.1,2242.1,2236.9,2237.6,1213.3,1212.3,1214.1,3362.4,3359.2,3359.7,6883.5,6884.4,6888.1,3611.5,3609.1,176.7,167,8250.5,8255.4,8258.7,3261.9,3263.4,3265.1,4048.2,4049,4050.2,14652.3,14656.2,14652.1,167,167,40.209999,25.969999
127637640,4860235,6589.1,6588,6590.5,5493,5494.6,5497.1,12821,12819.1,12821.5,6163.7,6163,6167.6,406.2,407.3,9070,8677.6,5112.1,5114.5,5113.3,56213.9,56219.1,56226.3,7841.7,7843.2,7843.2,4561.3,4559.7,4567.5,1898.4,1891.2,1916.9,860.1,2244,2239,2239.7,1215.2,1214.3,1216.1,3377.5,3373.8,3374.4,6953.4,6953.9,6958.4,3610.1,3606.9,176.7,167,8281.4,8281.6,8288.5,3270.8,3271.4,3273.6,4051.4,4051.1,4053.7,14663.8,14657.7,14669.4,167,167,40.330002,25.969999
107787592,5072214.5,6603.1,6602.3,6604.1,5520.1,5518.8,5523.5,12827.3,12826.1,12826.8,6190.6,6189.2,6194.2,406.3,407.3,9070.4,8676.4,5114.3,5117.2,5115,56323.6,56326.6,56335.2,7913.5,7913.5,7915.3,4578.5,4576.6,4584.2,1898.3,1891.2,1916.8,860.1,2246.4,2241.3,2242.1,1217.6,1216.6,1218.4,3394.4,3390.6,3391.5,7033.5,7034.3,7038.8,3609.2,3607.6,176.7,167,8302.3,8308.8,8310.9,3279.3,3280.2,3281.8,4054,4053.4,4055.1,14684.1,14676,14687.9,167,167,40.330002,25.99
167036912,5028482,6618.8,6618.1,6620.3,5551.1,5551.5,5556.4,12832.3,12830.8,12830.8,6222.5,6221.9,6226.3,406.3,407.3,9069.9,8677.8,5117.5,5119.4,5117.9,56428.5,56438.2,56442.1,7984.4,7984.1,7984.8,4595.7,4594,4601.8,1898.4,1891.2,1916.8,860.1,2248.4,2243.2,2244.2,1219.9,1219,1220.7,3410.5,3407.2,3407.9,7109.5,7110.6,7114.6,3610.5,3607.8,176.7,167,8336.4,8343.2,8344.8,3288.2,3289.9,3292,4060.3,4059.4,4060.6,14693.6,14680.9,14684.6,167,167,40.48,25.99
140988976,5081423.5,6635.1,6633.7,6636.4,5578.3,5576.6,5582.1,12839.9,12838.9,12838.7,6252.3,6251.3,6255.3,406.3,407.3,9071.1,8678.4,5119.2,5121.6,5120.4,56544.2,56541.3,56543.3,8049,8049.5,8049.7,4610.9,4609.1,4617,1898.4,1891.2,1916.8,860.1,2250.1,2245.3,2246.4,1221.9,1221,1222.7,3424.3,3421.1,3421.6,7175.6,7176.7,7179.8,3608.6,3606.3,176.7,167,8360.8,8361,8365.2,3297.3,3298.5,3299.7,4063.2,4062,4063.5,14678,14691.7,14691.2,167,167,40.52,25.99
105247080,4658723.5,6648.4,6647.3,6649.5,5601.7,5601.6,5606.1,12843.5,12842.6,12844.4,6278.6,6277.1,6280.5,406.3,407.3,9070.7,8677.6,5121.6,5124.3,5122.9,56632,56630.6,56636.7,8111.5,8112.1,8111.3,4626.5,4624.6,4632.4,1898.4,1891.2,1916.9,860.1,2252.4,2247.2,2248,1223.8,1222.9,1224.5,3437.8,3434.2,3434.8,7240.3,7241.5,7245.5,3609.1,3606.7,176.7,167,8384.9,8390.4,8391.5,3304.8,3306.6,3308,4065.1,4065.5,4066.8,14702.4,14704.5,14704.7,167,167,40.470001,25.99
186175440,4972275,6662.1,6660.8,6663,5626.6,5626.7,5629.9,12849.3,12848.2,12848.2,6302.6,6302.7,6306,406.3,407.3,9071,8678.1,5124.3,5126.5,5125.2,56734,56736.6,56749.8,8170.2,8170.3,8169.8,4641.1,4639.5,4647,1898.3,1891.2,1916.9,860.2,2254.3,2249.1,2249.9,1225.7,1224.8,1226.5,3451.2,3447.4,3448.6,7305.4,7305.6,7309.7,3609.3,3607,176.7,167,8417.1,8419.4,8421.7,3314,3315.1,3316.3,4069.2,4068.4,4070.9,14712.1,14734.5,14732.1,167,167,40.41,25.969999
157629552,5228020.5,6674.3,6674,6676.4,5649.5,5649.5,5656.9,12853.4,12852.3,12853.8,6328.2,6326.9,6331,406.3,407.3,9068.5,8677.4,5127,5128.7,5127.3,56816.8,56816,56826.1,8224.7,8223.6,8225.2,4655.2,4653.9,4661.2,1898.4,1891.2,1916.8,860.2,2256.6,2251.5,2252.5,1227.5,1226.5,1228.3,3463.3,3460,3461,7364.9,7365.3,7370.1,3608.7,3605.7,176.7,167,8440.8,8444.4,8453.1,3322,3323.8,3325.6,4073.6,4074.5,4075.6,14711.4,14708.7,14715.5,167,167,40.360001,26
109605256,5012582,6688.5,6687,6689.4,5673.6,5673.1,5677.6,12858.8,12857.7,12859.1,6353,6350.8,6354.8,406.3,407.3,9070.2,8677.7,5129.1,5131,5129.5,56912,56914.9,56914.1,8278.1,8276.7,8277.1,4668.4,4666.9,4674.7,1898.4,1891.3,1916.8,860.1,2258.7,2253.6,2254.3,1229.2,1228.2,1229.9,3475,3471.9,3472.8,7422.9,7423.5,7428.6,3609.5,3607.3,176.7,167,8459.4,8467.1,8465.1,3329.7,3330.2,3332.3,4074.8,4074.2,4076.3,14749.7,14750.3,14750.8,167,167,40.369999,25.969999
