CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
138518416,4910706,7022.2,7021.2,7023.1,6375.8,6375.2,6378.6,13213.5,13211.5,13213.1,6129.2,6127.7,6131.7,406.4,407.4,9071.3,8679.2,5199.4,5202.4,5200.1,57557.4,57552,57567.4,8110.9,8111.5,8111.1,4823.6,4821.4,4829.1,1898.6,1891.5,1917.1,860.3,2277.8,2272.7,2273.2,1201.7,1200.6,1202.3,3315.5,3312,3312.7,6391.6,6391.1,6394,3612,3610.3,176.8,167,8646.5,8646.5,8651.1,3494.6,3496.9,3499.1,4230.4,4233,4234.8,15880,15877.5,15882.2,167,167,45.209999,26.200001
171242176,4980233,7020.7,7019.8,7022.1,6373,6371,6377.7,13214.2,13213.8,13215.2,6128.8,6127.9,6131.7,406.3,407.4,9071.6,8679,5200.5,5203.5,5201.7,57551.1,57564.1,57551.5,8118.3,8116.5,8116.9,4824.8,4822.7,4830.4,1898.7,1891.5,1917.1,860.2,2277.7,2272.8,2273.4,1201.6,1200.6,1202.3,3314.1,3310.8,3311.4,6389.4,6388.8,6391.6,3614.1,3612,176.8,167,8643.1,8645,8644.9,3494.8,3496.3,3498.7,4227.9,4228.5,4230.6,15877.9,15873.1,15875.9,167,167,45.099998,26.23
168431696,4924265,7018.5,7017.3,7018.7,6370.9,6368.6,6372.2,13210,13211,13212,6126.4,6124.8,6128.6,406.3,407.4,9071.8,8679.1,5198.8,5200.8,5199.5,57554.2,57549.6,57559.9,8108.8,8108.4,8108.8,4822.2,4820.5,4828.1,1898.7,1891.6,1917.2,860.4,2277.5,2272.3,2272.9,1201.5,1200.5,1202.2,3314,3310.5,3311,6389.4,6389.5,6392.7,3612.3,3610.8,176.8,167,8632.4,8639.3,8644.2,3494.6,3496.9,3498,4227.2,4227.1,4229.8,15852.9,15862.4,15843,167,167,45.330002,26.219999
126505896,5002721.5,7019.2,7017.7,7019.7,6370.2,6368.2,6372.1,13212.6,13210.9,13210.9,6126.5,6125.3,6128.7,406.4,407.4,9072.1,8678.9,5199.5,5201.7,5200.3,57557.3,57564.9,57562.4,8111.4,8110.1,8108.3,4822.2,4820.5,4828.1,1898.6,1891.5,1917.2,860.3,2277.3,2272,2272.9,1201.5,1200.4,1202.2,3314.2,3310.5,3311.5,6390.8,6390.5,6392.4,3613.3,3610.3,176.8,167,8633.9,8640.8,8645,3493.5,3494.8,3496.5,4226.4,4226.5,4229.3,15859.3,15849.2,15859.2,167,167,45.68,26.23
102823568,4622681,7015.6,7014.6,7016.5,6368.7,6366.7,6369.6,13209.8,13209,13211.1,6125.5,6123.9,6127.7,406.4,407.4,9072.5,8679.8,5198.6,5200.7,5199.1,57541.4,57544.8,57555.8,8107.1,8103.7,8105.6,4820.2,4818.1,4825.1,1898.7,1891.6,1917.1,860.3,2277,2271.7,2272.4,1201.3,1200.3,1202.1,3312.5,3309.1,3309.6,6387.8,6386.6,6390.1,3614.7,3611.3,176.8,167,8629.6,8636.7,8641.7,3492.9,3494.1,3496.2,4228.4,4228.9,4230.4,15869.4,15864.5,15885,167,167,45.439999,26.24
107708208,4875181.5,7017.5,7016.4,7019.3,6370.8,6368.1,6372.1,13211.6,13209.3,13211.9,6125.9,6124.8,6127.7,406.4,407.5,9072,8679.1,5198.7,5200.9,5199,57535.3,57546.4,57547,8104.2,8101.1,8101.6,4818.9,4816.7,4824,1898.8,1891.6,1917.1,860.3,2276.3,2271.3,2272.2,1201.2,1200.3,1201.9,3312.3,3308.5,3309.2,6386.5,6386.2,6389.4,3613.4,3611.6,176.8,167,8628.1,8629.3,8634.2,3491,3492.7,3494.9,4225.6,4224.8,4228.1,15860.9,15855.3,15855.6,167,167,45.59,26.219999
150183120,4885523.5,7011.6,7010.7,7012.3,6362.5,6360.6,6365.5,13210.9,13209.2,13209.8,6122.4,6121,6124.9,406.4,407.4,9071.1,8679,5197.6,5199.5,5198,57535.5,57530.8,57543.5,8100.2,8099.9,8097.7,4817,4815.6,4823.3,1898.6,1891.5,1917.1,860.3,2276.1,2270.9,2272.4,1201.2,1200.2,1201.9,3311.9,3308.2,3309.2,6386.7,6386.5,6389.4,3614.5,3612,176.8,167,8626.3,8631.1,8634.5,3489.5,3490.4,3492.8,4225.2,4225.4,4227.7,15853.7,15834.6,15830.3,167,167,45.34,26.23
182174800,5035927.5,7012.2,7010.3,7012.2,6363.4,6362,6365.6,13208.5,13208.9,13211.5,6122,6120.6,6124,406.4,407.4,9071.2,8679.2,5198,5200.5,5199.2,57542.6,57535.2,57541,8100,8098.7,8100.1,4818.2,4816.5,4824.1,1898.6,1891.4,1917.2,860.3,2276.4,2271.2,2272.3,1201.2,1200.1,1201.9,3312.4,3308.5,3309.2,6387.2,6387.2,6389.6,3613.3,3611,176.8,167,8625.1,8631.9,8633.2,3488.9,3490.6,3493.3,4224.4,4223.5,4225.8,15858.3,15859.4,15857.8,167,167,45.5,26.23
183546688,5039832,7008.8,7007.2,7010.2,6361.7,6359.1,6363.4,13209.4,13206.7,13209.4,6120.6,6118.7,6122.5,406.4,407.4,9071.4,8678.3,5197.2,5199.2,5197.9,57524.4,57545.9,57536.2,8094.9,8093.5,8093.5,4815,4813.3,4820.8,1898.6,1891.5,1917.2,860.3,2275.9,2270.5,2271.6,1201,1200,1201.7,3310.8,3306.8,3307.9,6383.4,6383,6386.6,3612.7,3610.9,176.8,167,8617,8622.7,8624,3488.1,3489.7,3492.5,4223.1,4224.6,4224.4,15844.5,15841.4,15843.8,167,167,45.189999,26.23
125717448,5014859.5,7008.6,7007.5,7009.7,6360.8,6359.4,6363.4,13208.8,13207.1,13209.1,6121,6119.6,6123.4,406.4,407.5,9071.8,8678.5,5198.5,5200.5,5198.8,57541,57539.8,57531.7,8098.5,8096.4,8095.4,4815.7,4813.8,4821.4,1898.7,1891.4,1917.2,860.3,2275.8,2270.6,2271.3,1201,1200,1201.6,3311.1,3307.4,3308.5,6384.5,6382.9,6387,3611.8,3609.8,176.8,167,8624.5,8624.2,8626.5,3488.5,3490.2,3492.3,4225.6,4225.6,4227.6,15857,15858.5,15864.6,167,167,45.41,26.23
