CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
176512752,5280405,6578.6,6577.4,6578.8,5271.2,5271.3,5279.9,13110.6,13110.5,13111.8,5899.5,5898.3,5902.1,406.2,407.3,9070.1,8676.8,5217.4,5219.5,5217.9,56307.5,56297.6,56308.7,7490.4,7490.1,7490,4520.8,4518.8,4526.6,1897.8,1890.6,1916.3,859.9,2256,2251.1,2252,1205.6,1204.6,1206.2,3282,3278.5,3279,6418.1,6417.1,6420,3609.2,3606.5,176.7,167,8045.8,8049.2,8048.5,3202.1,3203.1,3205.9,4049,4050.2,4049.6,14687.4,14684.1,14691.1,167,167,41.419998,26
133858872,4922234,6578.3,6577.6,6579.1,5270.5,5269.4,5274.2,13110.6,13108.9,13110,5900.5,5899,5902.9,406.2,407.3,9069.4,8676.7,5218.5,5220.5,5219.3,56298.2,56285.4,56288.8,7493.6,7492.4,7491,4520.8,4519,4526.7,1897.7,1890.5,1916.1,859.8,2256.3,2251.2,2252,1205.5,1204.5,1206.2,3281.3,3277.5,3278.3,6416.1,6415.8,6419.5,3610.1,3607.5,176.7,167,8049.3,8047.5,8050.3,3201.3,3202.7,3205,4049.6,4049,4049.5,14677.2,14676.5,14671,167,167,41.720001,26
106337624,5218646.5,6575.3,6574,6575.6,5267.9,5266.7,5273,13105.5,13106.5,13107.1,5898.4,5897.3,5901,406.2,407.2,9069.8,8677,5217.8,5220.3,5218.6,56298.5,56293.9,56306.3,7492.3,7490.9,7491.5,4519.9,4517.9,4525.4,1897.7,1890.6,1916.1,859.9,2256.3,2251.1,2252,1205.4,1204.3,1206.1,3280.6,3276.8,3277.8,6416.1,6414.8,6419.5,3610.3,3607.2,176.7,167,8040.3,8048.1,8050.6,3200.3,3201.4,3204.1,4048.4,4051,4053,14692.5,14675.8,14688,167,167,41.740002,25.969999
150337520,5276071,6575.5,6574,6576.5,5269.4,5268.9,5272.4,13105.6,13104.2,13105.4,5898.3,5896.6,5901,406.2,407.3,9069,8677.6,5217.7,5219.8,5218.5,56290.8,56294.6,56300.1,7494.2,7492.7,7491.7,4521.4,4519.2,4526.8,1897.8,1890.5,1916.2,859.9,2256.2,2251.2,2252.2,1205.4,1204.4,1206.2,3281.3,3277.4,3278.4,6416.2,6415.7,6418.6,3608,3606.5,176.7,167,8044.5,8047,8049.5,3198.8,3201.8,3203.7,4051.3,4052.1,4053,14678.6,14672.7,14680.8,167,167,42.169998,25.99
148129456,5217482.5,6576.4,6574.8,6576.7,5270.1,5269.2,5273.8,13104.8,13105.4,13105.3,5899,5897.6,5901.6,406.2,407.2,9068.9,8676.7,5218.5,5221,5219.2,56296.6,56293.6,56291.8,7495.1,7494.6,7494.1,4521.4,4519.3,4526.9,1897.6,1890.5,1916.3,859.9,2256.1,2251,2251.9,1205.4,1204.5,1206.2,3281.3,3277.6,3278.3,6417.1,6416.2,6418.6,3612.2,3609.5,176.7,167,8047.3,8054,8054.6,3201.6,3202.6,3204.6,4051.2,4050.3,4050.2,14690.4,14674.2,14681.9,167,167,42.060001,26
109441208,5045526.5,6574.2,6574.2,6577.5,5269.6,5268.5,5274.7,13104.1,13103.2,13104.5,5898.1,5896.9,5900.9,406.2,407.3,9069.1,8676.4,5218,5220.4,5218.9,56287.9,56284.3,56288,7494.6,7493,7493.7,4520.9,4518.6,4526.3,1897.7,1890.5,1916.2,859.9,2255.9,2251,2251.7,1205.3,1204.2,1206,3280.5,3277,3277.4,6413.8,6412.5,6414.8,3608.6,3606.8,176.7,167,8048.2,8055.6,8052.7,3200.7,3201.5,3204.1,4049.4,4049.6,4050.2,14667.3,14691.7,14685.1,167,167,41.490002,25.99
126615424,5034150.5,6572.7,6571.9,6573.2,5269,5268.8,5273,13104.7,13103.3,13104.1,5896.7,5895.5,5899.6,406.2,407.3,9069.4,8676.5,5217.5,5219.5,5217.9,56279.8,56283.9,56301.2,7492.1,7490.6,7491.5,4520.2,4518,4525.9,1897.5,1890.4,1916.3,859.9,2256,2251,2251.7,1205.3,1204.2,1205.9,3280.6,3276.8,3277.6,6413.9,6413.6,6416.7,3609.7,3607,176.7,167,8049.2,8048.8,8048.9,3202.1,3203.5,3204.9,4049.2,4048.4,4049.6,14673.3,14676.5,14673.2,167,167,41.630001,26
164131104,5359849.5,6574,6572.5,6575.1,5270.1,5269.2,5272,13104.2,13103.3,13104.1,5897.1,5896.2,5900.5,406.2,407.2,9068.7,8676.6,5217,5219.5,5217.8,56280.8,56285.3,56284.5,7492.7,7492.1,7492.3,4520,4518.2,4525.5,1897.6,1890.5,1916.2,859.9,2256.2,2251.1,2252,1205.1,1204.2,1205.8,3279.9,3276.5,3276.7,6411.7,6411.5,6414.5,3608.4,3606.4,176.7,167,8051.2,8052.3,8055.6,3200.9,3202,3204,4051.1,4050.5,4052.3,14679.7,14682.5,14683.6,167,167,41.849998,26
113255232,5160727,6571.8,6570.9,6573.7,5269,5268.2,5273.1,13101.4,13099.7,13100.4,5896.3,5895.2,5899.4,406.2,407.2,9068.7,8676,5216.6,5218.7,5217.1,56280.4,56270.7,56276,7492.3,7491.4,7490.1,4519.1,4517.4,4524.8,1897.6,1890.5,1916.2,859.9,2255.9,2250.7,2251.6,1205,1204,1205.8,3279.4,3275.9,3276.7,6411,6410.4,6413.7,3608.8,3606.6,176.7,167,8050.2,8052.5,8054.9,3201.4,3202.8,3203.7,4049,4051.4,4051.6,14695.5,14702.5,14687.4,167,167,41.970001,26
130776496,4799659.5,6572.7,6572.2,6574,5269,5270.9,5273.2,13101.3,13100.1,13101,5896.2,5895.1,5899.2,406.2,407.3,9069.2,8676.8,5216.2,5218.6,5217.2,56264.5,56273.3,56280.8,7493,7491.3,7490.2,4519.1,4517.4,4524.6,1897.6,1890.5,1916.3,859.9,2255.8,2250.9,2251.8,1205,1204.1,1205.7,3279.3,3276,3276.6,6410.5,6409.4,6412.2,3609.6,3607.1,176.7,167,8052.6,8053.1,8057.9,3200.5,3202.4,3203.7,4050.9,4052.2,4054.1,14686.2,14686.4,14679.2,167,167,42.189999,26.030001
