CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
135502272,4579112,6826.6,6825.6,6827.1,5805.1,5803.4,5808.4,13457.5,13457.9,13457.8,6180.2,6178.5,6182.7,406.4,407.4,9073.3,8680.1,5200.1,5202.8,5201,56533.7,56546,56547.6,7614.2,7611.9,7612.2,4628,4625.5,4633,1899.3,1892,1917.3,860.1,2291.4,2286.4,2287.1,1207.2,1206.2,1207.9,3324.3,3320.5,3321.2,6517.5,6517.1,6519.8,3609.2,3607.2,176.7,167,8421.4,8424.1,8427.7,3390.5,3391.3,3393,4241,4240.1,4242.7,15662.6,15646,15643,167,167,37.57,26.09
135753824,4394651.5,6830.1,6829.2,6831.2,5806,5804.4,5809.1,13460,13457.6,13458.8,6183.6,6182.2,6186.1,406.4,407.4,9072.4,8680.4,5200.5,5202.7,5201.2,56576.2,56566.9,56574.6,7617.5,7616.1,7616.3,4629.1,4627.4,4634.6,1899.3,1891.9,1917.3,860.2,2292.5,2287,2287.9,1207.7,1206.7,1208.5,3326,3322.2,3322.9,6524.5,6523.6,6526.4,3609.3,3607.2,176.7,167,8428.5,8430.2,8433.8,3390.3,3391.7,3392.5,4240.6,4243.2,4242.4,15662.5,15668.7,15666.2,167,167,37.490002,26.059999
126615424,4497641.5,6832.8,6831.9,6833.6,5808,5805.9,5810.6,13462.7,13460.8,13460.5,6186.3,6185.1,6188.7,406.4,407.5,9072.1,8680.2,5202,5204.2,5202.7,56587.3,56576.2,56563.6,7618.3,7616.9,7617.6,4630.2,4627.9,4635.4,1899.3,1892.2,1917.2,860.2,2293.5,2288.3,2289.5,1208.2,1207.1,1208.8,3327.4,3323.6,3324.5,6528.3,6528.1,6530.8,3611.3,3608.7,176.7,167,8426.1,8428.4,8431.9,3391.8,3391.8,3393.2,4240.3,4240.6,4242.2,15671.1,15663,15671.3,167,167,37.490002,26.09
129588672,4534634,6835.8,6834.7,6837.1,5806.9,5807,5810,13463.8,13463.8,13464.1,6188.5,6187.4,6190.6,406.4,407.5,9072.1,8680.5,5201.9,5203.7,5202.6,56606.1,56603.9,56609.8,7620.5,7618.8,7618.9,4630.4,4628.3,4636.4,1899.3,1892,1917.3,860.2,2293.9,2288.8,2289.7,1208.7,1207.6,1209.4,3328.7,3325.4,3326,6534.5,6533.2,6536.7,3609.7,3606.9,176.7,167,8422.3,8427.3,8432.6,3390.1,3393.2,3395.1,4241,4241.1,4242.9,15678.4,15663.5,15669,167,167,37.389999,26.1
125394048,4453029.5,6839,6837.9,6839.7,5807.2,5805.3,5809.2,13464.6,13462.8,13465.8,6190.7,6189.1,6193.3,406.4,407.4,9073.6,8681.2,5203.8,5205.6,5203.9,56623.7,56618.9,56626.3,7622,7621.3,7621.4,4631.8,4629.8,4637.5,1899.4,1892,1917.3,860.2,2294.9,2289.5,2290.5,1209.1,1208.1,1209.8,3330.3,3326.5,3327.3,6539.3,6538.1,6541.9,3610,3607.8,176.7,167,8430.3,8432.5,8435.6,3389,3390.7,3392.8,4242.4,4241.5,4243,15668.3,15644.8,15656.9,167,167,37.389999,26.09
123749368,4358047.5,6843,6841.6,6843.8,5807.5,5804.7,5808.5,13464,13462.8,13462.6,6194,6192.3,6196.5,406.4,407.5,9072.8,8680.4,5203.2,5206.4,5204.5,56659.1,56652.1,56662.4,7622.6,7621.5,7620.9,4632.5,4630.7,4638.2,1899.3,1891.9,1917.3,860.1,2295.5,2290.4,2291.3,1209.5,1208.5,1210.2,3331.6,3327.8,3328.7,6544.6,6543.9,6547.1,3611.5,3609.1,176.7,167,8432.1,8431.8,8440.1,3389.8,3391.1,3393.8,4241.4,4241.9,4244.2,15667.4,15667.2,15661,167,167,37.380001,26.07
118126672,4627325,6846,6845,6847.4,5807.1,5805.6,5811.3,13463.4,13463.8,13464.6,6196.8,6195,6198.7,406.4,407.4,9073.1,8680.7,5203.8,5206.3,5205,56660.5,56666,56668.8,7624.3,7623.1,7623.2,4633.5,4631.4,4639.3,1899.3,1892,1917.3,860.2,2295.9,2291.1,2292,1209.9,1208.9,1210.6,3332.5,3329,3329.5,6548.9,6549,6552.1,3610.7,3608.6,176.7,167,8432.6,8437.9,8438.2,3390.6,3392.9,3394.1,4240.9,4241.4,4243.6,15680.3,15672.4,15681.4,167,167,37.349998,26.1
124301584,4649946.5,6849.9,6848.7,6851.1,5806.4,5806.5,5810.1,13467,13465.7,13467.5,6199.8,6198.3,6203,406.4,407.5,9072.5,8681,5205.2,5207.3,5206,56682.4,56673.4,56683.3,7628.3,7625.6,7625.8,4634.4,4632.2,4639.5,1899.3,1892,1917.3,860.1,2296.7,2291.8,2292.7,1210.4,1209.3,1211,3333.6,3330.1,3331.1,6554.4,6553.2,6556.1,3612.5,3610.4,176.8,167,8427.4,8432.4,8437.5,3391,3392.9,3395.1,4241.7,4243.7,4243.9,15661.2,15658,15655.7,167,167,37.34,26.1
135126656,4645257,6854.6,6853.6,6855.6,5806.9,5804.3,5809.9,13468.3,13466,13467.9,6202.5,6201,6204.9,406.4,407.4,9073,8680.7,5206.1,5207.9,5206.7,56689.4,56704.5,56704.6,7628.6,7628.4,7627.4,4635.4,4633.4,4640.5,1899.3,1892,1917.3,860.2,2297.9,2293,2294.3,1210.8,1209.7,1211.5,3335.2,3331.4,3332,6557.4,6556.9,6560.3,3612.3,3609.9,176.7,167,8428.6,8435.2,8437.7,3391,3393,3394.8,4242.2,4243.3,4243.8,15682,15669.2,15678.1,167,167,37.310001,26.1
122582416,4727663.5,6859.3,6858.2,6860.4,5807.2,5804.5,5810.2,13469.8,13469,13469.9,6205.7,6204.4,6208.5,406.4,407.5,9074,8681.3,5207.1,5209,5207.6,56722.8,56728.9,56723.4,7629.4,7627.5,7628.8,4635.9,4633.9,4641.6,1899.3,1892,1917.2,860.2,2298.5,2293.4,2294.1,1211,1210.1,1211.8,3335.8,3332.3,3333.2,6561.7,6561.3,6564.7,3612,3609.8,176.7,167,8433.4,8441.1,8442.5,3390.8,3393.9,3395.3,4241.1,4241.9,4243.8,15672.3,15667.8,15666.6,167,167,37.25,26.1
114250640,4739423,6864.4,6863.5,6865.7,5806.5,5803.8,5809.4,13470.1,13469.1,13470.1,6209.7,6208.1,6212.1,406.4,407.4,9073.6,8679.8,5208,5210.6,5209,56738.7,56744,56745.9,7632.6,7631.7,7631,4636.3,4634.4,4642.1,1899.3,1892,1917.3,860.2,2299.3,2294.3,2294.9,1211.3,1210.3,1212,3336.9,3333.2,3333.9,6565,6564.7,6567.9,3611.4,3609.7,176.7,167,8440.7,8441.5,8446.1,3392.1,3394.3,3396.1,4243.9,4242.8,4244.8,15668,15676.9,15674.9,167,167,37.299999,26.1
123331912,4510403.5,6870,6868.9,6870.9,5807,5805.1,5810.7,13470.2,13469.5,13473.3,6214,6212.7,6216.6,406.4,407.5,9073.6,8679.6,5209,5210.8,5209.3,56759.8,56748.6,56749.1,7632.7,7632.1,7631.9,4637.2,4635.3,4642.9,1899.3,1892,1917.3,860.1,2299.6,2294.5,2295.6,1211.6,1210.6,1212.3,3337.7,3333.9,3334.6,6569,6567.6,6571.5,3612,3610,176.8,167,8439,8440.9,8446.8,3392.2,3394.9,3396.2,4244,4244.6,4245,15662.3,15670.7,15669.7,167,167,37.27,26.129999
