CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
127972712,5915771.5,7351.9,7351.3,7353.3,5647.4,5646.3,5650.9,14728.7,14727.6,14730.3,6077.3,6076.9,6080.6,406.3,407.4,9072.6,8682.5,5689.8,5692.4,5690.7,58433.4,58425.6,58440.5,8064.6,8062.4,8062.6,4699.4,4697.4,4704.9,1898.6,1891.4,1917.2,860.2,2341.7,2336.8,2337.4,1210.3,1209.3,1211,3352.7,3348.9,3349.4,6618.9,6617.8,6621.5,3613.8,3612.9,176.8,167,8067,8072.2,8075.9,3234.6,3235.4,3237.2,4136,4136.8,4137.5,15212.1,15204.5,15191.7,167,167,38.880001,26.5
142119360,5894549,7349.6,7348.6,7350.6,5649.1,5644.6,5649.3,14722,14720.5,14723,6076.9,6076.2,6079.9,406.3,407.4,9073.1,8680.7,5689.5,5691.6,5690.4,58434.8,58430.4,58448.4,8066.6,8065.4,8065.2,4700.4,4698.4,4706.1,1898.6,1891.4,1917.3,860.2,2341.4,2336.1,2336.8,1210.3,1209.3,1211.1,3353.5,3349.8,3350.3,6622.5,6620.8,6623.6,3615.2,3613.5,176.8,167,8064.5,8069.2,8073.9,3233,3235.3,3237.5,4135.1,4134.3,4136.2,15222.3,15212.7,15213.6,167,167,39.360001,26.5
137865488,5725111.5,7352.5,7351,7353.5,5649.6,5649,5652.9,14723.9,14724,14722.5,6079.7,6078.3,6082.6,406.3,407.4,9073.2,8680.5,5689.7,5691.7,5690.6,58437.1,58440.5,58440.2,8066.5,8065.2,8066,4700.3,4698.9,4705.9,1898.6,1891.5,1917.4,860.2,2341.2,2336,2336.8,1210.5,1209.4,1211.2,3353.2,3349.9,3350.6,6622.1,6621.4,6624.2,3615,3613,176.8,167,8071.5,8075.6,8075.6,3234,3236.2,3238.1,4136.6,4135.8,4138.6,15233.2,15233.2,15226.4,167,167,39.490002,26.51
138125920,5675728,7349.7,7347.4,7348.4,5643.3,5643,5646.5,14714.8,14715.1,14716.1,6077.8,6076.3,6079.7,406.3,407.4,9073.6,8681.4,5677.9,5680.3,5679.6,58420.9,58419.2,58430.7,8010.6,8008.9,8009.2,4681.2,4679.6,4686.4,1898.7,1891.6,1917.4,860.2,2341.6,2336.2,2337.3,1209.3,1208.4,1210.1,3343.2,3339.5,3340.5,6598.8,6598.1,6601.4,3614.5,3613.2,176.8,167,8067.9,8069.8,8072.8,3233.1,3234.2,3236.8,4136.4,4134.9,4137.8,15218.5,15208.6,15202.7,167,167,39.139999,26.5
139876448,5808278,7340.8,7340.4,7343,5642.7,5640.6,5644.7,14713.6,14712.8,14713,6079,6077.6,6082,406.3,407.4,9073.8,8680.6,5685.4,5687.7,5685.9,58437.9,58437.6,58444,8033.4,8034,8031.9,4689.6,4687.8,4695.2,1898.8,1891.6,1917.4,860.2,2341.2,2336.1,2336.8,1210,1209,1210.7,3348.2,3344.3,3344.9,6610.1,6610.2,6613.1,3615.9,3613.7,176.8,167,8074.7,8076.9,8076.2,3235.7,3236.6,3238.6,4136.4,4135.8,4137.6,15206.8,15208.5,15210.6,167,167,41.93,26.530001
154384608,5730888.5,7350.8,7349.5,7352,5654.8,5654.2,5657.5,14721.1,14720.1,14719.3,6084.2,6083.1,6087.3,406.3,407.4,9073.4,8680.9,5686.3,5688.3,5686.8,58440.2,58440.4,58440,8040.9,8041.1,8040.8,4692,4690,4697.6,1898.8,1891.5,1917.4,860.3,2341.4,2336.2,2337.1,1210.2,1209.2,1210.9,3350.7,3347.1,3347.9,6617.2,6616.8,6619.7,3616.1,3613.7,176.8,167,8073.3,8077.3,8077,3235.1,3236.9,3239.1,4134.1,4135.1,4137.5,15233.4,15216.5,15212.2,167,167,42.799999,26.530001
121740544,5865999,7360.1,7359,7360.6,5657.3,5655.4,5660.6,14721,14719.2,14721.1,6086.8,6085.8,6089.2,406.3,407.4,9073.7,8680.7,5686.9,5689.1,5687.3,58434.8,58423.4,58434.1,8048.4,8047.5,8047,4693.8,4691.3,4699,1898.8,1891.6,1917.5,860.2,2341.3,2336.2,2337.2,1210.4,1209.4,1211.1,3351.5,3347.8,3348.6,6620.2,6618.6,6622.2,3615.2,3613.4,176.8,167,8074,8080.2,8082.9,3236,3238,3239.7,4137.3,4136.3,4138.5,15197.6,15217.5,15213.8,167,167,41.669998,26.530001
131629896,5584748,7351.5,7350.8,7352.6,5652.1,5648.7,5652.8,14719,14717.5,14718.4,6087.2,6086.1,6089.6,406.4,407.4,9073.3,8680.7,5686.5,5688.5,5686.7,58440.5,58435.5,58434.6,8050.1,8050.5,8050,4694.8,4693,4700.3,1898.8,1891.6,1917.4,860.2,2342,2337.1,2337.7,1210.4,1209.4,1211.1,3351.7,3348,3348.6,6620.8,6621,6624.4,3614.8,3612.9,176.8,167,8078.4,8077.5,8081.6,3235.2,3236.4,3239,4138.2,4136.9,4139,15195.3,15184.2,15196,167,167,40.41,26.530001
139210672,5678924.5,7352.3,7350.7,7352.1,5645,5644.6,5648.3,14710.1,14710.3,14709.5,6087.3,6086,6089.9,406.3,407.4,9074,8680.6,5686.8,5689,5687.5,58436.1,58440.8,58439.9,8050.6,8050.5,8049.2,4694.7,4692.6,4700.2,1898.8,1891.6,1917.4,860.3,2341.5,2336.3,2336.9,1210.7,1209.6,1211.3,3353,3349.5,3350.3,6623.3,6622.9,6627,3616.6,3614.5,176.8,167,8083.7,8083.7,8085.5,3235.9,3237.4,3239,4134.8,4134.9,4137.6,15235.3,15228.3,15227.5,167,167,39.880001,26.540001
134227456,5766252.5,7351.7,7350,7352,5645.8,5644.8,5652.6,14712.2,14709.1,14711.1,6088.5,6087.4,6091.3,406.3,407.4,9073.1,8681.1,5686.5,5689.1,5687.3,58442.2,58434,58446.3,8053.1,8053.9,8052.8,4695.7,4693.6,4700.8,1898.8,1891.6,1917.3,860.3,2341.4,2336.2,2337,1210.6,1209.6,1211.4,3352.7,3349,3349.4,6625.1,6623.9,6627.1,3616.4,3614.6,176.8,167,8074.2,8075.7,8081.2,3236.1,3237.5,3240.1,4136.2,4137.4,4140.1,15205.4,15211.9,15194.9,167,167,39.849998,26.51
